weighting,token,document_count
rows,israel,1324
rows,palestina,552
rows,zionis,464
rows,gaza,400
rows,gila,388
rows,indonesia,362
rows,yahudi,319
rows,syiah,264
rows,mau,255
rows,nya,253
rows,islam,248
rows,china,238
rows,hamas,222
rows,allah,210
rows,warga,192
rows,rakyat,191
rows,dunia,182
rows,satu,177
rows,perang,168
rows,cacat,163
rows,buta,162
rows,kristen,160
rows,lgbt,159
rows,ganjar,149
rows,hukum,136
rows,kaum,130
rows,muslim,129
rows,cina,128
rows,umat,128
rows,freepalestine,126
rows,gay,126
rows,serangan,122
rows,presiden,121
rows,salah,119
rows,jokowi,117
rows,agama,117
rows,gibran,117
rows,cawapres,116
rows,prabowo,114
rows,kenapa,112
rows,manusia,112
rows,rumah,109
rows,tentara,107
rows,tanah,105
rows,anies,101
rows,seorang,100
rows,palestine,100
rows,bangsa,98
rows,hati,98
rows,sakit,97
rows,produk,95
rows,penjajah,95
rows,nabi,94
rows,org,94
rows,video,92
rows,kan,90
rows,arab,90
rows,suka,89
rows,sipil,86
rows,teroris,86
rows,pemimpin,84
rows,mati,84
rows,yaman,83
rows,negeri,82
rows,jelas,82
rows,pendukung,82
rows,laknatullah,81
rows,dilakukan,81
rows,politik,80
rows,jalur,80
rows,capres,75
rows,pasukan,74
rows,bodoh,74
rows,pak,74
rows,mata,73
rows,amerika,73
rows,ternyata,73
rows,diri,73
rows,melihat,72
rows,emang,72
rows,demi,71
rows,tdk,71
rows,korban,71
rows,langsung,71
rows,ketika,70
rows,makin,70
rows,hingga,70
rows,muhammad,69
rows,biadab,69
rows,membuat,69
rows,media,68
rows,hidup,68
rows,rohingya,68
rows,klo,66
rows,benar,66
rows,tuh,66
rows,bela,65
rows,anti,65
rows,bin,65
rows,mulai,65
rows,kek,65
rows,anjing,65
rows,tetap,64
rows,wahabi,64
rows,termasuk,63
rows,bersama,62
rows,belum,62
rows,sejarah,62
rows,lainnya,62
rows,sejak,62
rows,boleh,61
rows,apakah,61
rows,tolol,61
rows,semakin,60
rows,setiap,60
rows,senjata,60
rows,wanita,59
rows,kerja,59
rows,makan,59
rows,barat,59
rows,sumber,59
rows,menteri,59
rows,iran,59
rows,ulama,59
rows,tuhan,58
rows,bener,58
rows,dua,58
rows,kaya,58
rows,pemerintah,57
rows,berani,57
rows,waktu,57
rows,kelompok,57
rows,militer,57
rows,nama,56
rows,biar,56
rows,mahfud,56
rows,tetapi,56
rows,menolak,56
rows,antara,56
rows,sekali,55
rows,konflik,55
rows,melawan,55
rows,bom,55
rows,muslimin,55
rows,krn,54
rows,saudara,54
rows,pesek,54
rows,wilayah,54
rows,akun,54
rows,abu,54
rows,masyarakat,53
rows,pertama,53
rows,kota,53
rows,tengah,52
rows,the,52
rows,memiliki,52
rows,sunnah,52
rows,kejahatan,52
rows,liat,52
rows,pengungsi,52
rows,percaya,51
rows,nanti,51
rows,pake,51
rows,berbagai,51
rows,imigran,51
rows,sahabat,51
rows,kemanusiaan,51
rows,boikot,51
rows,gini,50
rows,kadrun,50
rows,soal,50
rows,luar,50
rows,masa,50
rows,bagaimana,50
rows,netanyahu,50
rows,lihat,49
rows,ajaran,49
rows,kayak,49
rows,gua,49
rows,pilih,48
rows,viral,48
rows,perlu,48
rows,tempat,48
rows,hak,47
rows,utk,47
rows,sini,47
rows,akibat,47
rows,dlm,47
rows,keluarga,47
rows,jalan,47
rows,fitnah,47
rows,jakarta,47
rows,membunuh,47
rows,dah,47
rows,dll,46
rows,menghancurkan,46
rows,merupakan,46
rows,sampe,46
rows,imam,46
rows,minta,46
rows,babi,46
rows,oktober,46
rows,salam,45
rows,membela,45
rows,begitu,45
rows,ketua,45
rows,lawan,44
rows,menurut,44
rows,takut,44
rows,masalah,44
rows,bendera,44
rows,aksi,44
rows,genosida,44
rows,lupa,44
rows,jam,44
rows,gitu,44
rows,otak,43
rows,nkri,43
rows,rasa,43
rows,yaitu,43
rows,udh,43
rows,air,43
rows,paham,43
rows,internasional,43
rows,pbb,43
rows,memilih,42
rows,odgj,42
rows,bantuan,42
rows,sementara,42
rows,truncated,41
rows,sering,41
rows,haram,41
rows,menggunakan,41
rows,kekuasaan,41
rows,partai,41
rows,dukungan,41
rows,asli,41
rows,kecil,41
rows,menyerang,41
rows,masjid,41
rows,pas,41
rows,komunis,40
rows,pribumi,40
rows,apalagi,40
rows,kitab,40
rows,selamat,40
rows,jauh,40
rows,kau,40
rows,muda,40
rows,malam,40
rows,kasih,40
rows,tangan,39
rows,depan,39
rows,jawa,39
rows,sehingga,39
rows,propaganda,39
rows,you,39
rows,ibu,39
rows,tolak,39
rows,keras,39
rows,kini,39
rows,selengkapnya,39
rows,main,39
rows,orgil,39
rows,asal,38
rows,keturunan,38
rows,akal,38
rows,tindakan,38
rows,sebagian,38
rows,baswedan,38
rows,datang,38
rows,segala,38
rows,balik,38
rows,milik,38
rows,cukup,38
rows,berkata,38
rows,segera,38
rows,moral,37
rows,pranowo,37
rows,sadar,37
rows,menang,37
rows,jiwa,37
rows,fakta,37
rows,karna,37
rows,gereja,37
rows,neraka,37
rows,pagi,37
rows,tinggal,36
rows,alasan,36
rows,juta,36
rows,sebab,36
rows,anis,36
rows,sunni,36
rows,bersatu,36
rows,hasil,36
rows,sana,36
rows,bakal,36
rows,follow,36
rows,news,36
rows,pihak,36
rows,kafir,36
rows,hancur,35
rows,mari,35
rows,lama,35
rows,sumpah,35
rows,kalah,35
rows,cari,35
rows,jahat,35
rows,rabu,35
rows,maupun,35
rows,bulan,35
rows,sebelum,35
rows,sdh,34
rows,kepala,34
rows,instagram,34
rows,etika,34
rows,menyatakan,34
rows,perempuan,34
rows,ali,34
rows,mengaku,33
rows,pemilu,33
rows,tegas,33
rows,membantu,33
rows,maju,33
rows,memberikan,33
rows,timur,33
rows,waras,33
rows,saudi,33
rows,beli,33
rows,dajjal,33
rows,sekitar,33
rows,israhell,33
rows,bangsat,33
rows,siang,33
rows,gendut,32
rows,palsu,32
rows,perubahan,32
rows,pilpres,32
rows,katolik,32
rows,berarti,32
rows,cerdas,32
rows,sebenarnya,32
rows,beliau,32
rows,bumi,32
rows,dianggap,32
rows,penuh,32
rows,sedangkan,32
rows,hampir,32
rows,suara,32
rows,awal,32
rows,udara,32
rows,pejuang,32
rows,doa,32
rows,kuat,32
rows,rempang,31
rows,ngaku,31
rows,benci,31
rows,kemudian,31
rows,pembantaian,31
rows,justru,31
rows,uang,31
rows,twitter,31
rows,dasar,31
rows,habis,31
rows,bentuk,31
rows,kedua,31
rows,tewas,31
rows,minggu,31
rows,sesat,31
rows,tka,30
rows,sehat,30
rows,mudah,30
rows,wahai,30
rows,resmi,30
rows,musuh,30
rows,penjajahan,30
rows,mengambil,30
rows,merasa,30
rows,tokoh,30
rows,sesungguhnya,30
rows,khusus,30
rows,idf,30
rows,tua,30
rows,for,30
rows,mengikuti,30
rows,sinting,30
rows,setan,30
rows,salafi,30
rows,pembunuhan,29
rows,pdip,29
rows,penduduk,29
rows,adanya,29
rows,siap,29
rows,rezim,29
rows,kejam,29
rows,peduli,29
rows,putusan,29
rows,demo,29
rows,fatwa,29
rows,bid'ah,29
rows,link,29
rows,bakar,29
rows,mulu,29
rows,ahli,29
rows,pengecut,29
rows,cewe,29
rows,kemerdekaan,28
rows,mui,28
rows,disebut,28
rows,lakukan,28
rows,jawab,28
rows,pengen,28
rows,muka,28
rows,menyebut,28
rows,berat,28
rows,mayoritas,28
rows,enak,28
rows,sikap,28
rows,bukti,28
rows,mah,28
rows,ahmad,28
rows,terkait,28
rows,akhir,28
rows,muncul,28
rows,umar,28
rows,ayat,28
rows,umum,27
rows,eropa,27
rows,berusaha,27
rows,harga,27
rows,ayo,27
rows,share,27
rows,beragama,27
rows,butuh,27
rows,goblok,27
rows,keputusan,27
rows,sok,27
rows,polisi,27
rows,cepat,27
rows,zionist,27
rows,selasa,27
rows,diam,27
rows,tiap,27
rows,pula,27
rows,tolong,27
rows,makanya,27
rows,muak,27
rows,coldplay,27
rows,turun,26
rows,quran,26
rows,tinggi,26
rows,kondisi,26
rows,hoax,26
rows,antek,26
rows,berkuasa,26
rows,asing,26
rows,kurang,26
rows,duit,26
rows,saling,26
rows,mesir,26
rows,cerita,26
rows,jumat,26
rows,iblis,26
rows,konstitusi,26
rows,yesus,26
rows,komentar,26
rows,membabi,26
rows,kekuatan,26
rows,kapan,26
rows,ngomong,26
rows,biasa,26
rows,sekolah,26
rows,mengutuk,26
rows,zaman,26
rows,beda,26
rows,mengalami,26
rows,bandung,26
rows,wib,26
rows,melainkan,26
rows,temen,26
rows,israelterorrist,26
rows,pemahaman,26
rows,menarik,25
rows,usir,25
rows,artikel,25
rows,munafik,25
rows,inilah,25
rows,mohon,25
rows,kekejaman,25
rows,rasulullah,25
rows,mencari,25
rows,coba,25
rows,kpd,25
rows,ahlul,25
rows,perjuangan,25
rows,mengapa,25
rows,mkmk,25
rows,wajib,25
rows,keluar,25
rows,guru,25
rows,serang,25
rows,dilarang,25
rows,ilegal,25
rows,terbukti,25
rows,senin,25
rows,berada,25
rows,anjir,25
rows,cinta,25
rows,kecuali,25
rows,ibadah,25
rows,tadi,25
rows,ratusan,25
rows,tiba,25
rows,rudal,25
rows,open,25
rows,emg,25
rows,ahmadiyah,25
rows,suatu,24
rows,ibnu,24
rows,jaman,24
rows,dikasih,24
rows,bapak,24
rows,idiot,24
rows,teman,24
rows,bani,24
rows,dikutip,24
rows,swt,24
rows,semangat,24
rows,itulah,24
rows,apapun,24
rows,nggak,24
rows,bawa,24
rows,demikian,24
rows,sesuai,24
rows,lewat,24
rows,membenci,24
rows,pusat,24
rows,grup,24
rows,parah,24
rows,kamis,24
rows,janji,24
rows,postingan,24
rows,cowo,24
rows,bunuh,24
rows,aliran,24
rows,makanan,24
rows,meminta,24
rows,syi'ah,24
rows,aqidah,24
rows,hubungan,24
rows,menunjukkan,24
rows,brigade,24
rows,menegaskan,24
rows,agresi,24
rows,utara,24
rows,sebagaimana,24
rows,sore,24
rows,ketemu,24
rows,gambar,23
rows,maaf,23
rows,proyek,23
rows,daripada,23
rows,biden,23
rows,berjuang,23
rows,ribu,23
rows,membawa,23
rows,terutama,23
rows,organisasi,23
rows,kampanye,23
rows,sungguh,23
rows,pelanggaran,23
rows,bego,23
rows,doang,23
rows,pasangan,23
rows,boneka,23
rows,sosial,23
rows,bantu,23
rows,pernyataan,23
rows,diserang,23
rows,menghentikan,23
rows,bismillah,23
rows,merdeka,23
rows,benjamin,23
rows,serikat,23
rows,november,23
rows,trus,23
rows,kelakuan,23
rows,rafidhah,23
rows,memakai,22
rows,pki,22
rows,ilmu,22
rows,teriak,22
rows,inggris,22
rows,suci,22
rows,acara,22
rows,disana,22
rows,belajar,22
rows,listrik,22
rows,ala,22
rows,seolah,22
rows,anwar,22
rows,skrg,22
rows,tai,22
rows,mahkamah,22
rows,jabatan,22
rows,terima,22
rows,aman,22
rows,yakin,22
rows,cewek,22
rows,utama,22
rows,tujuan,22
rows,konser,22
rows,gencatan,22
rows,dpr,22
rows,sufi,22
rows,aswaja,22
rows,kelas,22
rows,menerima,22
rows,mengeluarkan,22
rows,bawah,22
rows,meninggal,22
rows,update,22
rows,mendapatkan,22
rows,terakhir,22
rows,dijadikan,22
rows,berlangsung,22
rows,pikir,22
rows,bayi,22
rows,berapa,22
rows,laknat,22
rows,lucu,22
rows,kontol,22
rows,knp,22
rows,kesesatan,22
rows,sejumlah,21
rows,rusia,21
rows,cucu,21
rows,sbg,21
rows,bukanlah,21
rows,sesama,21
rows,sambil,21
rows,silahkan,21
rows,kebanyakan,21
rows,and,21
rows,hadits,21
rows,nusantara,21
rows,usman,21
rows,merah,21
rows,menjadikan,21
rows,kalangan,21
rows,buka,21
rows,sebut,21
rows,bahasa,21
rows,kebenaran,21
rows,ekonomi,21
rows,bio,21
rows,pilihan,21
rows,abis,21
rows,kesempatan,21
rows,alaihi,21
rows,khususnya,21
rows,like,21
rows,perdana,21
rows,bicara,21
rows,massa,21
rows,qassam,21
rows,savepalestine,21
rows,iya,21
rows,pakai,21
rows,buzzer,21
rows,ngga,21
rows,usah,20
rows,penguasa,20
rows,rencana,20
rows,tank,20
rows,damai,20
rows,begini,20
rows,google,20
rows,gaji,20
rows,gagal,20
rows,artinya,20
rows,anggota,20
rows,nasional,20
rows,berhasil,20
rows,isi,20
rows,terlalu,20
rows,tuli,20
rows,tiktok,20
rows,dapet,20
rows,mirip,20
rows,tim,20
rows,membeli,20
rows,pekerjaan,20
rows,sekte,20
rows,pura,20
rows,bila,20
rows,gara,20
rows,setuju,20
rows,bernama,20
rows,laki,20
rows,nah,20
rows,surat,20
rows,ngapain,20
rows,pks,20
rows,ambil,20
rows,lokal,20
rows,marah,20
rows,mas,20
rows,heran,20
rows,tiga,20
rows,kejadian,20
rows,salaf,20
rows,sabtu,20
rows,pertahanan,20
rows,aturan,20
rows,pendudukan,20
rows,terbaru,20
rows,amat,20
rows,gerakan,20
rows,qur'an,20
rows,bisex,20
rows,abdul,20
rows,wkwk,20
rows,tante,20
rows,busuk,19
rows,pulau,19
rows,mengakui,19
rows,posting,19
rows,barang,19
rows,indo,19
rows,semuanya,19
rows,isu,19
rows,kasus,19
rows,bangun,19
rows,budak,19
rows,alam,19
rows,golongan,19
rows,yakni,19
rows,tanya,19
rows,faktanya,19
rows,naik,19
rows,sayang,19
rows,nomor,19
rows,pesawat,19
rows,mencapai,19
rows,menuju,19
rows,perusahaan,19
rows,etik,19
rows,betapa,19
rows,terlihat,19
rows,panas,19
rows,logika,19
rows,pengikut,19
rows,namanya,19
rows,sulit,19
rows,aceh,19
rows,menentang,19
rows,menyampaikan,19
rows,ham,19
rows,majelis,19
rows,menjaga,19
rows,bombardir,19
rows,sampah,19
rows,msh,19
rows,tidur,19
rows,kuburan,19
rows,sebelumnya,19
rows,nonton,19
rows,membuka,19
rows,istri,19
rows,keadaan,19
rows,hizbullah,19
rows,total,19
rows,hujan,19
rows,nangis,19
rows,dana,19
rows,kebiadaban,19
rows,saw,19
rows,alhamdulillah,19
rows,pemuda,18
rows,mengusir,18
rows,ribuan,18
rows,dibuat,18
rows,menganggap,18
rows,buku,18
rows,nurani,18
rows,disini,18
rows,bekerja,18
rows,sang,18
rows,berubah,18
rows,najwa,18
rows,hancurkan,18
rows,daerah,18
rows,mental,18
rows,empat,18
rows,melanggar,18
rows,putih,18
rows,simak,18
rows,jihad,18
rows,calon,18
rows,nazi,18
rows,imin,18
rows,diketahui,18
rows,brutal,18
rows,terbaik,18
rows,perkara,18
rows,palestin,18
rows,buruk,18
rows,susah,18
rows,tentu,18
rows,jurnalis,18
rows,ustadz,18
rows,freegaza,18
rows,berhenti,18
rows,laporan,18
rows,klik,18
rows,kantor,18
rows,lapangan,18
rows,syaikh,18
rows,dakwah,18
rows,kirim,18
rows,pelaku,18
rows,kaki,18
rows,dungu,18
rows,abi,18
rows,manhaj,18
rows,pesan,17
rows,jual,17
rows,lebanon,17
rows,mobil,17
rows,korupsi,17
rows,menguasai,17
rows,jutaan,17
rows,berasal,17
rows,mending,17
rows,mrk,17
rows,mampu,17
rows,tukang,17
rows,darah,17
rows,balas,17
rows,film,17
rows,kira,17
rows,usia,17
rows,malu,17
rows,investasi,17
rows,dibilang,17
rows,gama,17
rows,berharap,17
rows,layak,17
rows,meninggalkan,17
rows,komunitas,17
rows,membantai,17
rows,selatan,17
rows,mendapat,17
rows,diduga,17
rows,operasi,17
rows,badan,17
rows,kehilangan,17
rows,kah,17
rows,real,17
rows,mengecam,17
rows,habib,17
rows,komen,17
rows,play,17
rows,kebencian,17
rows,bahan,17
rows,kekerasan,17
rows,perbatasan,17
rows,kamp,17
rows,beneran,17
rows,maulid,17
rows,syariat,17
rows,ahlussunnah,17
rows,tni,16
rows,waspada,16
rows,dki,16
rows,ingat,16
rows,tionghoa,16
rows,non,16
rows,adu,16
rows,katakan,16
rows,abad,16
rows,menghadapi,16
rows,harapan,16
rows,terbesar,16
rows,senang,16
rows,youtube,16
rows,bagus,16
rows,jerman,16
rows,walaupun,16
rows,kawasan,16
rows,cuman,16
rows,surga,16
rows,nyawa,16
rows,bantai,16
rows,kasar,16
rows,pantas,16
rows,bingung,16
rows,mengenai,16
rows,genocide,16
rows,macam,16
rows,insyaallah,16
rows,hanyalah,16
rows,pendukungnya,16
rows,store,16
rows,turki,16
rows,pria,16
rows,diterima,16
rows,mengumumkan,16
rows,zionisme,16
rows,yerusalem,16
rows,menyebabkan,16
rows,jumlah,16
rows,lho,16
rows,source,16
rows,sesuatu,16
rows,penting,16
rows,paman,16
rows,iman,16
rows,ummat,16
rows,ama,16
rows,keji,16
rows,lanjut,15
rows,mahasiswa,15
rows,buatan,15
rows,satunya,15
rows,sedikit,15
rows,demokrasi,15
rows,wakil,15
rows,group,15
rows,cnn,15
rows,nasib,15
rows,sebelah,15
rows,miskin,15
rows,tulisan,15
rows,kemenangan,15
rows,merusak,15
rows,dirinya,15
rows,seseorang,15
rows,pencalonan,15
rows,kemarin,15
rows,malaysia,15
rows,netizen,15
rows,pergi,15
rows,perdamaian,15
rows,setidaknya,15
rows,jadikan,15
rows,trs,15
rows,free,15
rows,akbar,15
rows,perlawanan,15
rows,capek,15
rows,usai,15
rows,republik,15
rows,shallallahu,15
rows,seakan,15
rows,rasanya,15
rows,selesai,15
rows,dosa,15
rows,kuasa,15
rows,darat,15
rows,terbunuh,15
rows,via,15
rows,bertemu,15
rows,artis,15
rows,breaking,15
rows,konten,15
rows,asia,15
rows,diem,15
rows,ganti,15
rows,target,15
rows,melindungi,15
rows,sedih,15
rows,cok,15
rows,dikit,15
rows,aneh,15
rows,kayaknya,15
rows,yah,15
