token,log_odds
kontol,4.01426882267044
bego,3.380686350140341
pengecut,3.1880902054333795
kadrun,2.827663908182249
bangsat,2.8052241625348224
tolol,2.7063253971216543
pesek,2.665471270700847
wahabi,2.627488131222136
iblis,2.6137628058397366
kesesatan,2.578857065554902
laknat,2.578857065554902
rafidhah,2.531581186749864
goblok,2.492056497724028
sekte,2.485263434527586
ahlul,2.4533383277261342
laknatullah,2.425585285412384
salafi,2.373971768334857
aqidah,2.3415812868620853
aswaja,2.32741989772716
sufi,2.32741989772716
bisex,2.162326386187415
syi,2.1317886004977677
bid,2.1117272304033574
neraka,2.0941993486207995
munafik,2.0853680233029084
sesat,2.0697261029714165
boneka,2.055871062601267
anis,2.0323909694645894
bodoh,1.9580436886047083
idiot,1.9018872345521416
biadab,1.901065796748922
sunnah,1.861497744095553
kpd,1.8569047216813972
sunni,1.847002851173283
pribumi,1.8450715048164263
muslimin,1.8053154318219056
tai,1.7726999213617525
logika,1.7655426854939182
komunis,1.7484473881420666
membenci,1.7380940743038162
nurani,1.712647506193744
sampah,1.712647506193744
kekuasaan,1.706277405783697
dajjal,1.7055884999184605
wahai,1.694517402487282
kafir,1.6905963748862605
hadits,1.6852722819727324
kaum,1.6695438646496794
kelakuan,1.6590874055792362
fitnah,1.6587921427667738
etika,1.658170866487121
pki,1.652432804656462
ngaku,1.6376055207537026
ajaran,1.6168627152986688
maulid,1.6091572951912525
salaf,1.5973463910870445
posting,1.5871307310247935
moral,1.5825955465717645
nkri,1.5586526778742325
jama,1.5500654757400043
pemahaman,1.5243129360623124
msh,1.508577243998833
ummat,1.504562171735278
berkuasa,1.4964924185601949
propaganda,1.479079510087206
ibnu,1.4739519298747852
umar,1.4656021977291442
pendukung,1.4653894081149426
israelterorrist,1.4546743613069797
syiah,1.4511392777386722
bani,1.445337605712799
swt,1.445337605712799
akal,1.437089810968038
kitab,1.4345763431360707
cucu,1.43367127381596
setan,1.428758599094741
paman,1.4193224985129134
alaihi,1.41774549547468
etik,1.4012088936991216
sok,1.4012088936991216
pencalonan,1.3982645149281798
cerdas,1.3969074879902117
ayat,1.3923388746821117
syaikh,1.38284083212826
tdk,1.3663181811326506
kejam,1.3619443191102325
jadikan,1.3565508852488506
penguasa,1.3544981623068115
bukannya,1.3486412007395538
kasar,1.3407690114869524
pendukungnya,1.3407690114869524
benci,1.3257115804985635
madinah,1.3190980698092416
otak,1.31319677762796
pantas,1.3036868015006249
zionisme,1.3036868015006249
aliran,1.2964813479046264
anjing,1.2848935438363949
nazi,1.2826345435678477
dijajah,1.2714290925672085
muak,1.2699175943484833
lgbt,1.2689791321980064
tukang,1.2679277789165535
anak2,1.2650795172714588
jaman,1.2650795172714588
waras,1.2643526459217025
truncated,1.2610773424000306
negara2,1.259611853191792
nyerang,1.259611853191792
nabi,1.2536577313066355
zionis,1.24704967989317
kebiadaban,1.2444350995698017
cok,1.240915188236562
الله,1.240915188236562
cawapres,1.240847880748358
ribut,1.2354654568528085
spt,1.2354654568528085
keji,1.2334006611872412
dlm,1.2321688897977487
abi,1.2209947555168768
seolah,1.2111925600758
yaman,1.210931753655862
zionist,1.208551043477616
rasul,1.2051561656524907
gay,1.1831123002245425
menyerah,1.1823997450194466
