marker,label,document_count,positive_count,positive_rate
has_url,0,24453,804,0.032879401300453935
has_url,1,3995,60,0.015018773466833541
has_mention,0,24453,2857,0.11683637999427474
has_mention,1,3995,455,0.11389236545682102
has_hashtag,0,24453,6822,0.2789841737210158
has_hashtag,1,3995,763,0.19098873591989987
has_exclamation,0,24453,2498,0.10215515478673373
has_exclamation,1,3995,504,0.12615769712140176
has_question,0,24453,2372,0.09700241279188647
has_question,1,3995,567,0.14192740926157696
has_emoji_or_symbol,0,24453,21114,0.8634523371365477
has_emoji_or_symbol,1,3995,3502,0.8765957446808511
has_repeated_character,0,24453,3711,0.15176052018157282
has_repeated_character,1,3995,764,0.19123904881101378
