group,ngram,n,nontoxic_document_count,toxic_document_count,nontoxic_document_rate,toxic_document_rate
borderline,di gaza,2,59,97,0.04616588419405321,0.037596899224806204
borderline,zionis israel,2,21,93,0.01643192488262911,0.03604651162790698
borderline,jalur gaza,2,20,54,0.01564945226917058,0.020930232558139535
borderline,orang yang,2,31,54,0.024256651017214397,0.020930232558139535
borderline,cacat hukum,2,9,51,0.007042253521126761,0.019767441860465116
borderline,israel di,2,26,50,0.02034428794992175,0.01937984496124031
borderline,orang orang,2,25,47,0.019561815336463225,0.01821705426356589
borderline,di indonesia,2,28,46,0.02190923317683881,0.017829457364341085
borderline,rumah sakit,2,30,45,0.023474178403755867,0.01744186046511628
borderline,anak anak,2,26,42,0.02034428794992175,0.01627906976744186
borderline,di palestina,2,19,42,0.01486697965571205,0.01627906976744186
borderline,saat ini,2,16,42,0.012519561815336464,0.01627906976744186
borderline,salah satu,2,21,41,0.01643192488262911,0.015891472868217054
borderline,hari ini,2,33,39,0.025821596244131457,0.015116279069767442
borderline,di jalur,2,17,37,0.013302034428794992,0.01434108527131783
borderline,israel dan,2,26,37,0.02034428794992175,0.01434108527131783
borderline,orang gila,2,18,37,0.014084507042253521,0.01434108527131783
borderline,tidak ada,2,32,36,0.025039123630672927,0.013953488372093023
borderline,palestina dan,2,15,35,0.011737089201877934,0.013565891472868217
borderline,umat islam,2,13,35,0.010172143974960876,0.013565891472868217
borderline,warga sipil,2,11,34,0.008607198748043818,0.01317829457364341
borderline,yang dilakukan,2,10,34,0.00782472613458529,0.01317829457364341
borderline,ada yang,2,23,33,0.017996870109546165,0.012790697674418604
borderline,israel yang,2,16,33,0.012519561815336464,0.012790697674418604
borderline,pro israel,2,7,33,0.005477308294209703,0.012790697674418604
borderline,warga palestina,2,19,32,0.01486697965571205,0.012403100775193798
borderline,dan tidak,2,23,31,0.017996870109546165,0.012015503875968992
borderline,gaza palestina,2,11,31,0.008607198748043818,0.012015503875968992
borderline,yang tidak,2,23,31,0.017996870109546165,0.012015503875968992
borderline,10 2023,2,4,29,0.003129890453834116,0.01124031007751938
borderline,di dunia,2,17,29,0.013302034428794992,0.01124031007751938
borderline,yang telah,2,9,29,0.007042253521126761,0.01124031007751938
borderline,anies baswedan,2,24,28,0.018779342723004695,0.010852713178294573
borderline,apa yang,2,15,28,0.011737089201877934,0.010852713178294573
borderline,ke israel,2,11,28,0.008607198748043818,0.010852713178294573
borderline,rakyat palestina,2,8,28,0.006259780907668232,0.010852713178294573
borderline,tidak akan,2,13,28,0.010172143974960876,0.010852713178294573
borderline,ganjar pranowo,2,32,27,0.025039123630672927,0.010465116279069767
borderline,tentara israel,2,16,27,0.012519561815336464,0.010465116279069767
borderline,ganjar mahfud,2,6,26,0.004694835680751174,0.010077519379844961
borderline,israel ke,2,12,26,0.009389671361502348,0.010077519379844961
borderline,palestina yang,2,13,26,0.010172143974960876,0.010077519379844961
borderline,cawapres cacat,2,3,25,0.002347417840375587,0.009689922480620155
borderline,ini adalah,2,13,25,0.010172143974960876,0.009689922480620155
borderline,kaum muslimin,2,9,25,0.007042253521126761,0.009689922480620155
borderline,ada di,2,14,24,0.010954616588419406,0.009302325581395349
borderline,ada yg,2,11,24,0.008607198748043818,0.009302325581395349
borderline,11 2023,2,7,23,0.005477308294209703,0.008914728682170543
borderline,lebih dari,2,13,23,0.010172143974960876,0.008914728682170543
borderline,serangan israel,2,14,23,0.010954616588419406,0.008914728682170543
borderline,yg di,2,2,23,0.001564945226917058,0.008914728682170543
borderline,dan para,2,10,22,0.00782472613458529,0.008527131782945736
borderline,rakyat indonesia,2,9,22,0.007042253521126761,0.008527131782945736
borderline,israel palestina,2,9,21,0.007042253521126761,0.00813953488372093
borderline,orang yahudi,2,7,21,0.005477308294209703,0.00813953488372093
borderline,jadi presiden,2,5,20,0.003912363067292645,0.007751937984496124
borderline,membabi buta,2,7,20,0.005477308294209703,0.007751937984496124
borderline,palestina di,2,9,20,0.007042253521126761,0.007751937984496124
borderline,selengkapnya di,2,11,20,0.008607198748043818,0.007751937984496124
borderline,yang di,2,8,20,0.006259780907668232,0.007751937984496124
unanimous,zionis israel,2,265,70,0.011434735706580367,0.04946996466431095
unanimous,di gaza,2,1003,44,0.04327939590075512,0.03109540636042403
unanimous,https t,2,422,42,0.018209277238403453,0.029681978798586573
unanimous,t co,2,418,41,0.01803667745415318,0.028975265017667843
unanimous,cacat hukum,2,115,32,0.004962243797195253,0.022614840989399292
unanimous,orang orang,2,255,29,0.011003236245954692,0.02049469964664311
unanimous,orang yang,2,322,28,0.013894282632146709,0.019787985865724382
unanimous,ya allah,2,149,28,0.006429341963322546,0.019787985865724382
unanimous,anak anak,2,322,25,0.013894282632146709,0.0176678445229682
unanimous,di indonesia,2,467,25,0.020151024811218984,0.0176678445229682
unanimous,israel di,2,509,23,0.021963322545846816,0.01625441696113074
unanimous,tidak ada,2,283,23,0.012211434735706581,0.01625441696113074
unanimous,imigran yaman,2,17,22,0.0007335490830636461,0.015547703180212015
unanimous,umat islam,2,96,22,0.004142394822006472,0.015547703180212015
unanimous,warga sipil,2,190,22,0.00819848975188781,0.015547703180212015
unanimous,cawapres cacat,2,69,21,0.002977346278317152,0.014840989399293287
unanimous,di palestina,2,208,21,0.008975188781014025,0.014840989399293287
unanimous,yahudi pesek,2,16,21,0.0006903991370010787,0.014840989399293287
unanimous,ada yg,2,119,19,0.005134843581445523,0.01342756183745583
unanimous,kaum muslimin,2,31,17,0.00133764832793959,0.012014134275618375
unanimous,rumah sakit,2,441,17,0.019029126213592235,0.012014134275618375
unanimous,israel dan,2,474,16,0.02045307443365696,0.011307420494699646
unanimous,israel yang,2,326,16,0.014066882416396979,0.011307420494699646
unanimous,salah satu,2,396,16,0.0170873786407767,0.011307420494699646
unanimous,warga palestina,2,339,16,0.014627831715210355,0.011307420494699646
unanimous,dan tidak,2,146,15,0.006299892125134844,0.01060070671378092
unanimous,israel ini,2,45,15,0.001941747572815534,0.01060070671378092
unanimous,yahudi israel,2,35,15,0.0015102481121898597,0.01060070671378092
unanimous,yang tidak,2,216,15,0.009320388349514564,0.01060070671378092
unanimous,yg di,2,56,15,0.0024163969795037757,0.01060070671378092
unanimous,dukung israel,2,70,14,0.0030204962243797194,0.009893992932862191
unanimous,jalur gaza,2,539,14,0.02325782092772384,0.009893992932862191
unanimous,tentara israel,2,233,14,0.01005393743257821,0.009893992932862191
unanimous,yang ada,2,154,14,0.006645091693635383,0.009893992932862191
unanimous,yang dilakukan,2,186,14,0.00802588996763754,0.009893992932862191
unanimous,ada di,2,220,13,0.009492988133764833,0.009187279151943463
unanimous,penjajah zionis,2,38,13,0.001639697950377562,0.009187279151943463
unanimous,apa yang,2,138,12,0.005954692556634304,0.008480565371024734
unanimous,banyak yg,2,29,12,0.0012513484358144553,0.008480565371024734
unanimous,gak ada,2,62,12,0.00267529665587918,0.008480565371024734
unanimous,gibran cawapres,2,22,12,0.0009492988133764832,0.008480565371024734
unanimous,ini bukan,2,62,12,0.00267529665587918,0.008480565371024734
