group,ngram,n,nontoxic_document_count,toxic_document_count,nontoxic_document_rate,toxic_document_rate
Ahmadiyah,jemaat ahmadiyah,2,20,0,0.1694915254237288,0.0
Disabilitas,cacat hukum,2,124,83,0.020042023597866495,0.09211986681465038
Disabilitas,cawapres cacat,2,72,46,0.011637304024567642,0.051054384017758046
Disabilitas,orang gila,2,174,44,0.028123484726038466,0.048834628190899
Disabilitas,membabi buta,2,61,26,0.009859382576369808,0.02885682574916759
Disabilitas,orang yang,2,85,23,0.013738483917892355,0.025527192008879023
Disabilitas,cacat moral,2,24,22,0.0038791013415225475,0.0244173140954495
Disabilitas,gibran cawapres,2,20,22,0.0032325844512687894,0.0244173140954495
Disabilitas,ganjar mahfud,2,50,20,0.008081461128171973,0.022197558268590455
Disabilitas,hukum dan,2,16,20,0.0025860675610150314,0.022197558268590455
Disabilitas,gila ya,2,174,18,0.028123484726038466,0.01997780244173141
Disabilitas,udah gila,2,68,13,0.010990787134313885,0.014428412874583796
Disabilitas,putusan mk,2,30,12,0.004848876676903184,0.013318534961154272
Disabilitas,yang gila,2,38,12,0.0061419104574107,0.013318534961154272
Disabilitas,orang orang,2,43,11,0.0069500565702278975,0.01220865704772475
Disabilitas,ada yg,2,47,10,0.007596573460481655,0.011098779134295227
Disabilitas,ganjar pranowo,2,26,10,0.004202359786649426,0.011098779134295227
Disabilitas,orang dengan,2,35,10,0.005657022789720381,0.011098779134295227
Disabilitas,buta dan,2,28,9,0.004525618231776305,0.009988901220865706
Disabilitas,capres cawapres,2,22,9,0.0035558428963956682,0.009988901220865706
Disabilitas,dan tidak,2,53,9,0.008566348795862292,0.009988901220865706
Disabilitas,gila ini,2,107,9,0.017294326814288025,0.009988901220865706
Disabilitas,gila kali,2,48,9,0.007758202683045095,0.009988901220865706
Disabilitas,ada gila,2,38,8,0.0061419104574107,0.008879023307436182
Disabilitas,apa apa,2,23,8,0.0037174721189591076,0.008879023307436182
Disabilitas,apa yang,2,26,8,0.004202359786649426,0.008879023307436182
Disabilitas,ga ada,2,47,8,0.007596573460481655,0.008879023307436182
Disabilitas,gemoy muda,2,29,8,0.004687247454339745,0.008879023307436182
Disabilitas,gila sih,2,222,8,0.03588168740908356,0.008879023307436182
Disabilitas,muda bersatu,2,29,8,0.004687247454339745,0.008879023307436182
Disabilitas,orang buta,2,20,8,0.0032325844512687894,0.008879023307436182
Disabilitas,pak ganjar,2,33,8,0.0053337643445935026,0.008879023307436182
Disabilitas,ada yang,2,44,7,0.0071116857927913365,0.00776914539400666
Disabilitas,gila gilanya,2,27,7,0.004363989009212865,0.00776914539400666
Disabilitas,ngapain aja,2,35,7,0.005657022789720381,0.00776914539400666
Disabilitas,orang lain,2,33,7,0.0053337643445935026,0.00776914539400666
Disabilitas,pks ngapain,2,35,7,0.005657022789720381,0.00776914539400666
Disabilitas,rumah sakit,2,32,7,0.005172135122030063,0.00776914539400666
Disabilitas,yang tidak,2,36,7,0.005818652012283821,0.00776914539400666
Disabilitas,yg gila,2,47,7,0.007596573460481655,0.00776914539400666
Disabilitas,anies baswedan,2,22,6,0.0035558428963956682,0.006659267480577136
Disabilitas,dah gila,2,45,6,0.007273315015354776,0.006659267480577136
Disabilitas,di depan,2,26,6,0.004202359786649426,0.006659267480577136
Disabilitas,di dunia,2,27,6,0.004363989009212865,0.006659267480577136
Disabilitas,gak bisa,2,21,6,0.003394213673832229,0.006659267480577136
Disabilitas,gila aja,2,76,6,0.0122838209148214,0.006659267480577136
Disabilitas,gila bgt,2,96,6,0.01551640536609019,0.006659267480577136
Disabilitas,gila gila,2,80,6,0.012930337805075158,0.006659267480577136
Disabilitas,gila lu,2,21,6,0.003394213673832229,0.006659267480577136
Disabilitas,hari ini,2,145,6,0.023436237271698725,0.006659267480577136
Disabilitas,kali ini,2,39,6,0.006303539679974139,0.006659267480577136
Disabilitas,lebih gila,2,30,6,0.004848876676903184,0.006659267480577136
Disabilitas,orang yg,2,29,6,0.004687247454339745,0.006659267480577136
Disabilitas,tidak bisa,2,29,6,0.004687247454339745,0.006659267480577136
Disabilitas,wah gila,2,56,6,0.00905123646355261,0.006659267480577136
Disabilitas,yang paling,2,21,6,0.003394213673832229,0.006659267480577136
Disabilitas,bisa gila,2,85,5,0.013738483917892355,0.005549389567147614
Disabilitas,g dragon,2,21,5,0.003394213673832229,0.005549389567147614
Disabilitas,gangguan jiwa,2,42,5,0.006788427347664458,0.005549389567147614
Disabilitas,gila dan,2,25,5,0.0040407305640859864,0.005549389567147614
Disabilitas,ini di,2,24,5,0.0038791013415225475,0.005549389567147614
Disabilitas,kali ya,2,31,5,0.005010505899466624,0.005549389567147614
Disabilitas,stay strong,2,20,5,0.0032325844512687894,0.005549389567147614
Disabilitas,strong g,2,20,5,0.0032325844512687894,0.005549389567147614
Disabilitas,tidak akan,2,34,5,0.005495393567156942,0.005549389567147614
Disabilitas,yang di,2,22,5,0.0035558428963956682,0.005549389567147614
Disabilitas,yang sudah,2,26,5,0.004202359786649426,0.005549389567147614
Disabilitas,ada di,2,44,4,0.0071116857927913365,0.004439511653718091
Disabilitas,anak anak,2,23,4,0.0037174721189591076,0.004439511653718091
Disabilitas,apa ya,2,24,4,0.0038791013415225475,0.004439511653718091
Disabilitas,banyak orang,2,23,4,0.0037174721189591076,0.004439511653718091
Disabilitas,bener bener,2,39,4,0.006303539679974139,0.004439511653718091
Disabilitas,bu susi,2,23,4,0.0037174721189591076,0.004439511653718091
Disabilitas,buta warna,2,109,4,0.0176175852594149,0.004439511653718091
Disabilitas,diri sendiri,2,24,4,0.0038791013415225475,0.004439511653718091
Disabilitas,ga bisa,2,25,4,0.0040407305640859864,0.004439511653718091
Disabilitas,ga gila,2,45,4,0.007273315015354776,0.004439511653718091
Disabilitas,gak ada,2,26,4,0.004202359786649426,0.004439511653718091
Disabilitas,gila emang,2,26,4,0.004202359786649426,0.004439511653718091
Disabilitas,hampir gila,2,60,4,0.009697753353806368,0.004439511653718091
Disabilitas,jadi gila,2,44,4,0.0071116857927913365,0.004439511653718091
Disabilitas,kalo ga,2,21,4,0.003394213673832229,0.004439511653718091
Disabilitas,kek orgil,2,38,4,0.0061419104574107,0.004439511653718091
Disabilitas,laki laki,2,23,4,0.0037174721189591076,0.004439511653718091
Disabilitas,lebih baik,2,28,4,0.004525618231776305,0.004439511653718091
Disabilitas,odgj di,2,55,4,0.00888960724098917,0.004439511653718091
Disabilitas,orang tua,2,28,4,0.004525618231776305,0.004439511653718091
Disabilitas,org gila,2,55,4,0.00888960724098917,0.004439511653718091
Disabilitas,pagi buta,2,70,4,0.011314045579440763,0.004439511653718091
Disabilitas,saat ini,2,44,4,0.0071116857927913365,0.004439511653718091
Disabilitas,salah satu,2,57,4,0.00921286568611605,0.004439511653718091
Disabilitas,setiap hari,2,25,4,0.0040407305640859864,0.004439511653718091
Disabilitas,tiap hari,2,21,4,0.003394213673832229,0.004439511653718091
Disabilitas,tiba tiba,2,29,4,0.004687247454339745,0.004439511653718091
Disabilitas,tidak ada,2,44,4,0.0071116857927913365,0.004439511653718091
Disabilitas,ya allah,2,52,4,0.008404719573298853,0.004439511653718091
Disabilitas,yang ada,2,28,4,0.004525618231776305,0.004439511653718091
Disabilitas,yang bisa,2,29,4,0.004687247454339745,0.004439511653718091
Disabilitas,banget gila,2,39,3,0.006303539679974139,0.003329633740288568
Disabilitas,di gaza,2,21,3,0.003394213673832229,0.003329633740288568
Disabilitas,di rumah,2,26,3,0.004202359786649426,0.003329633740288568
Disabilitas,gila apa,2,31,3,0.005010505899466624,0.003329633740288568
Disabilitas,gila banget,2,104,3,0.016809439146597705,0.003329633740288568
Disabilitas,gila gua,2,21,3,0.003394213673832229,0.003329633740288568
