subset,token,label,document_count,document_rate,log_odds
all,jp,0,346,0.014149593096961517,4.743675731619882
all,2d,0,201,0.008219850325113484,4.1955855849257615
all,whatsapp,0,178,0.007279270437165174,4.073436898324405
all,kontol,1,22,0.005506883604505632,4.01426882267044
all,order,0,149,0.006093321882795567,3.894950782836039
all,200,0,118,0.004825583772952194,3.6612926793552627
all,night,0,105,0.004293951662372715,3.5445566153200176
all,shio,0,707,0.02891260785997628,3.5259571109292502
all,hubungi,0,102,0.004171267329162066,3.5155852576967828
all,colok,0,97,0.003966793440477651,3.4653695320380464
all,balai,0,96,0.003925898662740768,3.4550191064199067
all,medali,0,95,0.003885003885003885,3.4445612912878953
all,usk,0,94,0.003844109107267002,3.4339938257125366
all,bego,1,21,0.005256570713391739,3.3806863501403415
all,adadikompas,0,86,0.003516950885371938,3.3452100451009312
all,kerbau,0,84,0.003435161329898172,3.3217350923579505
all,twins,0,84,0.003435161329898172,3.3217350923579505
all,bbfs,0,83,0.003394266552161289,3.309789155793358
all,loker,0,82,0.003353371774424406,3.297699784902634
all,size,0,81,0.003312476996687523,3.285463481117853
all,prediksijitu,0,80,0.00327158221895064,3.27307661628804
all,meuseuraya,0,79,0.003230687441213757,3.2605354261996045
all,polresta,0,78,0.003189792663476874,3.24783600368665
all,smk,0,78,0.003189792663476874,3.24783600368665
all,harimau,0,77,0.003148897885739991,3.2349742912995914
all,kuala,0,230,0.00940579887948309,3.232380932913404
all,bma,0,74,0.003026213552529342,3.1953724185486365
all,ditampung,0,74,0.003026213552529342,3.1953724185486365
all,pengecut,1,29,0.007259073842302879,3.1880902054333795
all,industri,0,70,0.00286263444158181,3.1400219441658925
all,set,0,68,0.002780844886108044,3.1111609603002544
all,penyelundupan,0,63,0.002576370997423629,3.0351621020682673
all,sahh,0,63,0.002576370997423629,3.0351621020682673
all,fakultas,0,62,0.002535476219686746,3.0192477541829317
all,kecamatan,0,185,0.007565533881323355,3.013328975747921
all,diskon,0,61,0.002494581441949863,3.0030773752048296
all,resultchina,0,61,0.002494581441949863,3.0030773752048296
all,rohani,0,61,0.002494581441949863,3.0030773752048296
all,ajnn,0,59,0.002412791886476097,2.969934523889435
all,prediksitogel,0,176,0.007197480881691408,2.9632241877187746
all,asiangames,0,58,0.002371897108739214,2.9529439735690968
all,lowongankerja,0,57,0.002331002331002331,2.9356611768083023
all,match,0,57,0.002331002331002331,2.9356611768083023
all,kombes,0,56,0.002290107553265448,2.918075878511242
all,tangerang,0,56,0.002290107553265448,2.918075878511242
all,banda,0,275,0.011246063877642825,2.901501127571162
all,humas,0,55,0.002249212775528565,2.900177274145085
all,diperkirakan,0,54,0.002208317997791682,2.8819539697756067
all,mendatang,0,54,0.002208317997791682,2.8819539697756067
all,andi,0,53,0.002167423220054799,2.863393938401806
all,togelakurat,0,53,0.002167423220054799,2.863393938401806
all,fajar,0,52,0.002126528442317916,2.844484472170447
all,kemenkumham,0,52,0.002126528442317916,2.844484472170447
all,zhejiang,0,52,0.002126528442317916,2.844484472170447
all,3d,0,156,0.006379585326953748,2.8421358524165146
all,kadrun,1,50,0.012515644555694618,2.827663908182249
all,bandarjudi,0,51,0.002085633664581033,2.825212129995033
all,masyaallah,0,51,0.002085633664581033,2.825212129995033
all,penganiayaan,0,51,0.002085633664581033,2.825212129995033
all,rohingnya,0,51,0.002085633664581033,2.825212129995033
all,truk,0,51,0.002085633664581033,2.825212129995033
all,result,0,547,0.022369443422075003,2.8103805172976877
all,nurul,0,50,0.00204473888684415,2.805562680038442
all,pentingnya,0,50,0.00204473888684415,2.805562680038442
all,bangsat,1,33,0.008260325406758449,2.8052241625348224
all,bagas,0,49,0.002003844109107267,2.7855210364427325
all,togelindonesia,0,49,0.002003844109107267,2.7855210364427325
all,twin,0,49,0.002003844109107267,2.7855210364427325
all,situstogel,0,48,0.001962949331370384,2.7650711896015214
all,sport,0,48,0.001962949331370384,2.7650711896015214
all,bangladesh,0,143,0.005847953216374269,2.754879986247324
all,irwan,0,47,0.001922054553633501,2.744196129167575
all,jusuf,0,47,0.001922054553633501,2.744196129167575
all,rangkaian,0,47,0.001922054553633501,2.744196129167575
all,joo,0,139,0.005684374105426737,2.7264450278871037
all,66,0,46,0.001881159775896618,2.7228777588679467
all,atlet,0,46,0.001881159775896618,2.7228777588679467
all,mewujudkan,0,46,0.001881159775896618,2.7228777588679467
all,pemindahan,0,46,0.001881159775896618,2.7228777588679467
all,sari,0,46,0.001881159775896618,2.7228777588679467
all,setiawan,0,46,0.001881159775896618,2.7228777588679467
all,win,0,46,0.001881159775896618,2.7228777588679467
all,togel,0,410,0.01676685887212203,2.717600942468017
all,tolol,1,61,0.015269086357947435,2.7063253971216543
all,maranatha,0,45,0.001840264998159735,2.7010968020578217
all,part,0,45,0.001840264998159735,2.7010968020578217
all,pengamanan,0,45,0.001840264998159735,2.7010968020578217
all,premium,0,45,0.001840264998159735,2.7010968020578217
all,r32,0,45,0.001840264998159735,2.7010968020578217
all,semifinal,0,45,0.001840264998159735,2.7010968020578217
all,togelslot,0,45,0.001840264998159735,2.7010968020578217
all,toto,0,45,0.001840264998159735,2.7010968020578217
all,pasaran,0,224,0.009160430213061793,2.6946821156436753
all,achmad,0,44,0.001799370220422852,2.678832696777879
all,lokerjakarta,0,44,0.001799370220422852,2.678832696777879
all,penyebab,0,44,0.001799370220422852,2.678832696777879
all,pusing,0,44,0.001799370220422852,2.678832696777879
all,pesek,1,54,0.013516896120150187,2.665471270700847
all,kanwil,0,43,0.001758475442685969,2.6560634788834383
all,pembayaran,0,43,0.001758475442685969,2.6560634788834383
all,4d,0,128,0.005234531550321024,2.643857028321668
all,hangzhou2022,0,42,0.001717580664949086,2.6327656515804985
all,single,0,42,0.001717580664949086,2.6327656515804985
all,termurah,0,42,0.001717580664949086,2.6327656515804985
all,wang,0,42,0.001717580664949086,2.6327656515804985
all,wijaya,0,42,0.001717580664949086,2.6327656515804985
all,wahabi,1,63,0.01576971214017522,2.627488131222136
all,jackpot,0,208,0.008506113769271665,2.6200853155865125
all,iblis,1,25,0.006257822277847309,2.6137628058397366
all,59,0,41,0.001676685887212203,2.608914039426181
all,email,0,41,0.001676685887212203,2.608914039426181
all,jo,0,41,0.001676685887212203,2.608914039426181
all,rank,0,41,0.001676685887212203,2.608914039426181
all,rian,0,41,0.001676685887212203,2.608914039426181
all,university,0,41,0.001676685887212203,2.608914039426181
all,180,0,40,0.00163579110947532,2.5844816245193596
all,54,0,40,0.00163579110947532,2.5844816245193596
all,edi,0,40,0.00163579110947532,2.5844816245193596
all,rafael,0,40,0.00163579110947532,2.5844816245193596
all,sahabatganjar,0,40,0.00163579110947532,2.5844816245193596
all,kesesatan,1,22,0.005506883604505632,2.578857065554902
all,laknat,1,22,0.005506883604505632,2.578857065554902
all,apresiasi,0,39,0.001594896331738437,2.5594393622090785
all,erick,0,39,0.001594896331738437,2.5594393622090785
all,hyuk,0,39,0.001594896331738437,2.5594393622090785
all,kompol,0,39,0.001594896331738437,2.5594393622090785
all,meter,0,39,0.001594896331738437,2.5594393622090785
all,zoom,0,39,0.001594896331738437,2.5594393622090785
all,togeljitu,0,116,0.004743794217478428,2.5453262091392324
all,bambang,0,38,0.001554001554001554,2.533755973168539
all,court,0,38,0.001554001554001554,2.533755973168539
all,indra,0,38,0.001554001554001554,2.533755973168539
all,lhokseumawe,0,38,0.001554001554001554,2.533755973168539
all,parade,0,38,0.001554001554001554,2.533755973168539
all,resulttogel,0,38,0.001554001554001554,2.533755973168539
all,tembakan,0,38,0.001554001554001554,2.533755973168539
all,togelsydney,0,38,0.001554001554001554,2.533755973168539
all,togelterbaik,0,38,0.001554001554001554,2.533755973168539
all,tokopedia,0,38,0.001554001554001554,2.533755973168539
all,rafidhah,1,23,0.005757196495619525,2.531581186749864
