variant,vocabulary_size,raw_vocabulary_overlap,toxic_top_overlap,nontoxic_top_overlap
raw,88393,1.0,1.0,1.0
lowercase,88390,0.999852929530619,1.0,1.0
leet_decode,88273,0.955550778907832,1.0,1.0
collapse_repetition,87858,0.9844444695846957,1.0,0.9047619047619048
expand_emoji,88373,0.9993664656703585,1.0,1.0
expand_slang,88376,0.9997737377394138,0.9047619047619048,1.0
keep_hashtag_content,88293,0.9976016200377859,1.0,0.9047619047619048
remove_hashtag,79472,0.8990757186655052,1.0,0.7391304347826086
remove_url,87428,0.9890828459267137,1.0,0.9047619047619048
remove_mention,85865,0.9714004502618986,1.0,1.0
remove_punctuation,88393,1.0,1.0,1.0
remove_emoji,85866,0.9617956173000124,1.0,1.0
full_normalize,87644,0.9402441369791725,0.9047619047619048,0.9047619047619048
existing_cleaner,75774,0.8571266955528153,1.0,0.6666666666666666
