group_column,group,variant,document_count,token_count,vocabulary_size,token_retention,raw_vocabulary_overlap
agreement_band,borderline,raw,3858,154657,21665,1.0,1.0
agreement_band,borderline,lowercase,3858,154659,21663,1.0000129318427229,0.9999076852065544
agreement_band,borderline,leet_decode,3858,154568,21621,0.9994245329988297,0.9783521809369952
agreement_band,borderline,collapse_repetition,3858,154657,21589,1.0,0.9894299561504731
agreement_band,borderline,expand_emoji,3858,156349,21669,1.0109403389435978,0.9992614816524348
agreement_band,borderline,expand_slang,3858,154776,21641,1.0007694446420143,0.998661435495038
agreement_band,borderline,keep_hashtag_content,3858,154616,21651,0.99973489722418,0.9985691207015924
agreement_band,borderline,remove_hashtag,3858,150755,20224,0.9747699748475659,0.9334871913224094
agreement_band,borderline,full_normalize,3858,156295,21476,1.0105911791900788,0.9633510270020771
agreement_band,borderline,existing_cleaner,3858,149738,19777,0.9681941328229566,0.9128548349873067
agreement_band,unanimous,raw,24590,1104733,83189,1.0,1.0
agreement_band,unanimous,lowercase,24590,1104749,83188,1.0000144831375546,0.9998677709793362
agreement_band,unanimous,leet_decode,24590,1104482,83126,0.9997727957796138,0.9555710490569667
agreement_band,unanimous,collapse_repetition,24590,1104733,82704,1.0,0.9849859957446297
agreement_band,unanimous,expand_emoji,24590,1114308,83173,1.0086672526302736,0.9994109798170431
agreement_band,unanimous,expand_slang,24590,1105031,83170,1.0002697484369527,0.9997235211386121
agreement_band,unanimous,keep_hashtag_content,24590,1104175,83098,0.9994949005777867,0.9976679609082931
agreement_band,unanimous,remove_hashtag,24590,1061866,74778,0.961196958903192,0.8988928824724423
agreement_band,unanimous,full_normalize,24590,1113855,82543,1.0082571987982616,0.9409176694034067
agreement_band,unanimous,existing_cleaner,24590,1046322,71285,0.9471265907689912,0.8567839498010554
