sublabel,group_column,group,count,positive_count,positive_rate
profanity_obscenity,topic,Ahmadiyah,144,0,0.0
profanity_obscenity,topic,Disabilitas,7088,247,0.03484762979683973
profanity_obscenity,topic,Jewish,9288,267,0.028746770025839793
profanity_obscenity,topic,Kristen,1594,30,0.018820577164366373
profanity_obscenity,topic,LGBTQ+,919,46,0.05005440696409141
profanity_obscenity,topic,Rohingya,1736,17,0.009792626728110598
profanity_obscenity,topic,Syiah,709,10,0.014104372355430184
profanity_obscenity,topic,Tionghoa,5575,49,0.008789237668161434
profanity_obscenity,topic,UNKNOWN,2263,41,0.018117543084401236
threat_incitement_to_violence,topic,Ahmadiyah,144,1,0.006944444444444444
threat_incitement_to_violence,topic,Disabilitas,7088,127,0.0179176072234763
threat_incitement_to_violence,topic,Jewish,9288,496,0.053402239448751075
threat_incitement_to_violence,topic,Kristen,1594,17,0.01066499372647428
threat_incitement_to_violence,topic,LGBTQ+,919,11,0.011969532100108813
threat_incitement_to_violence,topic,Rohingya,1736,18,0.010368663594470046
threat_incitement_to_violence,topic,Syiah,709,24,0.03385049365303244
threat_incitement_to_violence,topic,Tionghoa,5575,110,0.019730941704035873
threat_incitement_to_violence,topic,UNKNOWN,2263,24,0.010605391073795847
insults,topic,Ahmadiyah,144,12,0.08333333333333333
insults,topic,Disabilitas,7088,600,0.08465011286681716
insults,topic,Jewish,9288,747,0.08042635658914729
insults,topic,Kristen,1594,88,0.05520702634880803
insults,topic,LGBTQ+,919,73,0.0794341675734494
insults,topic,Rohingya,1736,74,0.04262672811059908
insults,topic,Syiah,709,132,0.1861777150916784
insults,topic,Tionghoa,5575,177,0.031748878923766814
insults,topic,UNKNOWN,2263,164,0.07247017233760494
identity_attack,topic,Ahmadiyah,144,13,0.09027777777777778
identity_attack,topic,Disabilitas,7088,148,0.0208803611738149
identity_attack,topic,Jewish,9288,911,0.09808354866494401
identity_attack,topic,Kristen,1594,83,0.052070263488080304
identity_attack,topic,LGBTQ+,919,193,0.2100108813928183
identity_attack,topic,Rohingya,1736,75,0.043202764976958526
identity_attack,topic,Syiah,709,146,0.2059238363892807
identity_attack,topic,Tionghoa,5575,238,0.04269058295964125
identity_attack,topic,UNKNOWN,2263,95,0.04197967300044189
sexually_explicit,topic,Ahmadiyah,144,0,0.0
sexually_explicit,topic,Disabilitas,7088,28,0.0039503386004514675
sexually_explicit,topic,Jewish,9288,16,0.0017226528854435831
sexually_explicit,topic,Kristen,1594,1,0.0006273525721455458
sexually_explicit,topic,LGBTQ+,919,67,0.07290533188248095
sexually_explicit,topic,Rohingya,1736,1,0.000576036866359447
sexually_explicit,topic,Syiah,709,0,0.0
sexually_explicit,topic,Tionghoa,5575,6,0.0010762331838565023
sexually_explicit,topic,UNKNOWN,2263,5,0.002209456473707468
