topic,keyword
"Shia","shia"
"Shia","syia"
"Shia","syiah"
"Ahmadiyya","ahmadiya"
"Ahmadiyya","ahmadiyah"
"Ahmadiyya","ahmadiyya"
"Ahmadiyya","ahmadiyyah"
"Christian","anti christ"
"Christian","anti kristus"
"Christian","anti-christ"
"Christian","kris10"
"Christian","kristen"
"Christian","kr1st3n"
"Christian","katolik"
"Christian","khatolik"
"LGBTQ+","bisex"
"LGBTQ+","bisexual"
"LGBTQ+","eljibiti"
"LGBTQ+","gay"
"LGBTQ+","lesbian"
"LGBTQ+","lesbong"
"LGBTQ+","lgbt"
"LGBTQ+","lgbtq+"
"LGBTQ+","lghdtv+"
"LGBTQ+","queer"
"LGBTQ+","transgender"
"Chinese","china"
"Chinese","chindo"
"Chinese","chinese"
"Chinese","cina"
"Chinese","cindo"
"Chinese","cokin"
"Chinese","tionghoa"
"Jewish","is ra hell"
"Jewish","israel"
"Jewish","jew"
"Jewish","jewish"
"Jewish","joo"
"Jewish","netanyahu"
"Jewish","netanhayu"
"Jewish","setanyahu"
"Jewish","yahudi"
"Jewish","zionis"
"Jewish","bangsa pengecut"
"Rohingya","rohingya"
"Rohingya","imigran"
"Rohingya","pengungsi"
"Disability","odgj"
"Disability","idiot"
"Disability","autis"
"Disability","bisu"
"Disability","budek"
"Disability","buta"
"Disability","cacat"
"Disability","gangguan jiwa"
"Disability","gangguan mental"
"Disability","gila"
"Disability","ogdj"
"Disability","sinting"
"Disability","orang gila"
"Disability","orgil"
"Disability","sakit jiwa"
"Disability","tuli"
"Disability","tuna netra"
"Disability","tuna rungu"
"Disability","conge"
"Disability","gendut"
